files_changed,branches_count,time_since_previous_commit,time_since_previous_commit_days,commit_frequency_24h,commit_hour,commit_day,commit_month,commit_dayofweek,activity_frequency,activity_encoded,author_commit_count,author_unique_files,author_median_files_changed,file_reuse,branch_reuse,files_changed_rolling_avg_7d,branches_count_rolling_avg_7d,time_since_previous_commit_rolling_avg_7d,activity_frequency_rolling_avg_7d,anomaly_score_iqr,is_anomaly_iqr,anomaly_score_zscore,is_anomaly_zscore,anomaly_score_percentile,is_anomaly_percentile_95,is_anomaly_percentile_99,is_anomaly_percentile_999,anomaly_score_combined,is_anomaly_combined,anomaly_score_robust,is_anomaly_robust,anomaly_score_final,is_anomaly_final
1,14,366.0,0.0042361111111111,0,19,2,3,3,5625,18,61,66,1.0,True,True,4.337349397590361,13.373493975903614,0.0844911590807674,4350.566265060241,0.0,False,0.7635388754894012,False,4.7537932949548686e-05,True,False,False,0.2290806778200002,False,0.03980193395871192,True,0.20084708684526567,True
2,13,4776.0,0.0552777777777777,0,21,2,3,3,4122,43,260,749,2.0,True,True,4.309523809523809,13.36904761904762,0.0841433807319223,4347.845238095239,0.0,False,0.6898782543614174,False,0.0002069716775599,True,False,False,0.2070462649794491,False,0.12520249927583832,True,0.2038219313287039,True
1,14,739.0,0.0085532407407407,0,21,2,3,3,4122,43,260,749,2.0,True,True,4.270588235294118,13.376470588235296,0.0832540849673202,4345.1882352941175,0.0,False,0.7124277286068038,False,4.706691758230617e-05,True,False,False,0.213747145349074,False,0.12312882797903524,True,0.20890090587585533,True
1,14,2106.0,0.024375,0,21,2,3,3,4122,43,260,749,2.0,True,True,4.232558139534884,13.383720930232558,0.0825694444444444,4342.593023255814,0.0,False,0.7057126104226773,False,4.591963264293901e-05,True,False,False,0.2117321509798603,False,0.12311314329579551,True,0.20721791833777892,True
6,14,1438.0,0.0166435185185185,0,22,2,3,3,4122,43,611,1029,2.0,True,True,4.252873563218391,13.39080459770115,0.081811675180928,4340.057471264367,0.0,False,0.6732376696895157,False,4.479872206999358e-05,True,False,False,0.2019892203956827,False,0.2064311525133199,True,0.2199284052312264,True
5,10,11274.0,0.1304861111111111,0,1,3,3,4,5625,18,26,343,8.0,True,True,4.267441860465116,13.33720930232558,0.0822845338070628,4360.069767441861,0.1944444444444444,True,0.8554694001448993,False,0.0340215335420173,True,True,False,0.32858276679361,True,0.32592173354577514,True,0.35246427791928403,True
9,14,44.0,0.0005092592592592,0,1,3,3,4,4122,43,715,1024,2.0,True,True,4.32183908045977,13.344827586206897,0.0813445881226053,4357.333333333333,0.0,False,0.7757392507679056,False,5.207406616609144e-05,True,False,False,0.2327426048568381,False,0.4009750591433922,True,0.294191595994366,True
4,14,34726.0,0.4019212962962963,0,10,3,3,4,5625,18,260,749,2.0,True,True,4.333333333333333,13.344827586206897,0.0817899904214559,4351.954022988506,0.1240193904998374,True,0.8062098232507382,False,5.207406616609144e-05,True,False,False,0.2790895937516391,True,0.9541445324098206,True,0.4711064550566406,True
1,14,5469.0,0.0632986111111111,0,12,3,3,4,5625,18,1,1,1.0,True,True,4.295454545454546,13.352272727272728,0.081579861111111,4366.420454545455,0.0,False,0.7614756878280564,False,6.453669547103683e-05,True,False,False,0.2284685210266053,False,0.039847841939722045,True,0.20034701661581236,True
1,14,3786.0,0.0438194444444444,0,13,3,3,4,1461,58,1023,3102,2.0,True,True,4.258426966292135,13.359550561797754,0.0811555867665418,4333.775280898876,0.0,False,0.8743954470510961,False,4.97443211465544e-05,True,False,False,0.2623385318437874,False,0.2898320977818272,True,0.29106932228851745,True
1,14,1305.0,0.0151041666666666,0,13,3,3,4,3992,5,1023,3102,2.0,True,True,4.222222222222222,13.366666666666667,0.0804216820987654,4329.977777777778,0.0,False,0.7647736167064925,False,4.861827772044495e-05,True,False,False,0.2294515323230359,False,0.10092781460521898,True,0.21643751239735795,True
6,14,1361.0,0.0157523148148148,0,14,3,3,4,3992,5,1023,3102,2.0,True,True,4.241758241758242,13.373626373626374,0.0797110297110296,4326.263736263736,0.0,False,0.7470032319454016,False,4.751698250150267e-05,True,False,False,0.2241199763766211,False,0.18424609198682676,True,0.23282421022868247,True
2,14,2814.0,0.0325694444444444,0,15,3,3,4,3992,5,1023,3102,2.0,True,True,4.217391304347826,13.380434782608695,0.0791986211755233,4322.630434782609,0.0,False,0.7463816069499527,False,4.643962848297231e-05,True,False,False,0.223933057936379,False,0.10089803000506628,True,0.21183151914587547,True
1,14,3787.0,0.0438310185185185,0,16,3,3,4,1461,58,1023,3102,2.0,True,True,4.182795698924731,13.387096774193548,0.0788183243727598,4291.860215053764,0.0,False,0.8715986948912217,False,4.538544336806614e-05,True,False,False,0.2614977626447137,False,0.2897725069906555,True,0.29035414683131133,True
9,14,3954.0,0.0457638888888888,0,17,3,3,4,4122,43,136,2114,2.0,True,True,4.23404255319149,13.393617021276595,0.0784666814420803,4290.053191489362,0.0,False,0.6875456549373369,False,4.4353687723689866e-05,True,False,False,0.2062814379562905,False,0.3730917350569295,True,0.2651704359204975,True
4,14,4398.0,0.0509027777777777,0,18,3,3,4,465,50,136,2114,2.0,True,True,4.231578947368421,13.4,0.0781765350877192,4249.789473684211,0.0,False,0.8253150702919376,False,4.334365325077406e-05,True,False,False,0.2476118585488816,False,0.20085570452063875,True,0.2565535296164568,True
12,13,10177.0,0.1177893518518518,0,21,3,3,4,2880,23,611,1029,2.0,True,True,4.382978723404255,13.382978723404255,0.0753296148542159,4205.95744680851,0.0138888888888888,True,0.622693666248299,False,0.000204767237242,True,False,False,0.1910566734360531,True,0.458505695415768,True,0.2738232544475495,True
7,14,21464.0,0.2484259259259259,0,3,4,3,5,4122,43,715,1024,2.0,True,True,4.4361702127659575,13.393617021276595,0.0769230200945626,4184.989361702128,0.0,False,0.770252333558535,False,4.4353687723689866e-05,True,False,False,0.2310934415426499,False,0.7082999148305116,True,0.36964915051919256,True
17,14,155939.0,1.804849537037037,0,22,5,3,6,4122,43,715,1024,2.0,True,True,4.52808988764045,13.359550561797754,0.0808808000416146,4137.865168539326,1.6405116609027224,True,1.493065699291925,True,0.1208163754936414,True,True,False,0.9883997582558508,True,1.8731654311151607,True,1.2818897917008623,True
2,14,2253.0,0.0260763888888888,0,23,5,3,6,4122,43,715,1024,2.0,True,True,4.5,13.366666666666667,0.0802718621399176,4137.688888888889,0.0,False,0.7531012945065707,False,0.0033819516110537,True,False,False,0.2272831689963927,False,0.20648337016077453,True,0.24074165406959974,True
1,13,5816.0,0.0673148148148148,0,0,6,3,0,2880,23,164,812,2.0,True,True,4.288888888888889,13.411111111111111,0.07847170781893,4123.888888888889,0.0,False,0.7566912792659174,False,0.0009578913614001,True,False,False,0.2273905403243352,False,0.08066705877228075,True,0.20957905734989957,True
1,13,4106.0,0.0475231481481481,0,1,6,3,0,3992,5,164,812,2.0,True,True,4.252747252747253,13.406593406593409,0.0781316137566137,4122.43956043956,0.0,False,0.7919020130580752,False,0.0002010304796682,True,False,False,0.2376510161092898,False,0.13067683193392718,True,0.23069496886791765,True
4,14,9441.0,0.1092708333333333,0,4,6,3,0,6093,27,164,812,2.0,True,True,4.235955056179775,13.393258426966293,0.0791224511027881,4144.595505617977,0.0,False,0.7197606627269297,False,4.441043123340407e-05,True,False,False,0.2159459629905722,False,0.03975917747157758,True,0.18989106265743516,True
2,14,2255.0,0.026099537037037,0,5,6,3,0,6093,27,164,812,2.0,True,True,4.211111111111111,13.4,0.0785333076131686,4166.2444444444445,0.0,False,0.7568466900433655,False,4.334365325077406e-05,True,False,False,0.2270713444743099,False,0.039744593409527657,True,0.19915865677653596,True
1,14,14299.0,0.1654976851851851,0,9,6,3,0,1461,58,532,1152,2.0,True,True,4.111111111111111,13.4,0.0778485082304526,4136.677777777778,0.0,False,0.7827656027033414,False,4.334365325077406e-05,True,False,False,0.2348470182723027,False,0.43189839885640996,True,0.30367683630325054,True
1,14,6333.0,0.0732986111111111,0,10,6,3,0,2880,23,532,1152,2.0,True,True,4.076923076923077,13.406593406593409,0.0777985093610093,4122.868131868132,0.0,False,0.6158628720287046,False,4.230032093809162e-05,True,False,False,0.1847757817369866,False,0.03973032987631399,True,0.16390887555648917,True
1,14,27033.0,0.3128819444444444,0,18,6,3,0,958,9,136,2114,2.0,True,True,3.8068181818181817,13.420454545454543,0.0795951704545454,4066.022727272728,0.0330613933965889,True,0.8506869113890905,False,4.010695187165823e-05,True,False,False,0.2651405342164525,True,0.6798574002281385,True,0.3909114529914224,True
2,14,10148.0,0.1174537037037037,0,21,6,3,0,5625,18,260,749,2.0,True,True,3.9166666666666665,13.392857142857142,0.0846046902557318,4063.357142857143,0.0,False,0.6892660398382662,False,4.447392992284654e-05,True,False,False,0.2067976015234489,False,0.039760045570509134,True,0.18226763983467453,True
1,14,1605.0,0.0185763888888888,0,21,6,3,0,5625,18,260,749,2.0,False,True,3.882352941176471,13.4,0.0838278867102396,4081.7294117647057,0.0,False,0.7355401518337759,False,4.334365325077406e-05,True,False,False,0.220679383011433,False,0.039744593409527657,True,0.19383202222413856,True
2,14,12383.0,0.1433217592592592,0,1,7,3,1,4122,43,611,1029,2.0,True,True,3.7560975609756095,13.378048780487806,0.0857890130984642,4103.829268292683,0.0,False,0.6740101598436073,False,4.681718643811825e-05,True,False,False,0.2022217748276574,False,0.2206334934771058,True,0.2236726176267878,True
2,14,17969.0,0.207974537037037,0,6,7,3,1,3992,5,268,87,2.0,True,True,3.772151898734177,13.354430379746836,0.0886162388654477,4106.430379746836,0.0,False,0.733786852637542,False,5.055453227260268e-05,True,False,False,0.2201562776041716,False,0.3818316076916919,True,0.2789172537153766,True
11,10,4657.0,0.0539004629629629,0,7,7,3,1,4122,43,260,749,2.0,True,True,3.8625,13.3125,0.0881822916666666,4106.625,0.0,False,0.6808721803011051,False,0.0006921101774042,True,False,False,0.2045384981612932,False,0.49260877950089227,True,0.2935432674948504,True
4,14,11104.0,0.1285185185185185,0,10,7,3,1,4122,43,1023,3102,2.0,True,True,3.924050632911392,13.30379746835443,0.0894778481012658,4056.53164556962,0.0,False,0.6811215671213473,False,5.856662007463449e-05,True,False,False,0.204359896784434,False,0.14467100913276168,True,0.2064627857185459,True
10,14,9431.0,0.1091550925925926,0,13,7,3,1,4122,43,532,1152,2.0,True,True,3.96,13.266666666666667,0.0934989197530864,4086.16,0.0,False,0.5471361071268626,False,6.444215112945763e-05,True,False,False,0.1641666089985105,False,0.42892192263673734,True,0.24403061797868233,True
14,14,10859.0,0.1256828703703703,0,16,7,3,1,3992,5,268,87,2.0,True,True,3.835616438356164,13.246575342465754,0.0963386288685946,4128.520547945205,0.0416666666666666,True,0.6354097552473376,False,6.762137683720458e-05,True,False,False,0.2031499751249361,True,0.6410895192273807,True,0.3295583906295555,True
1,14,4612.0,0.0533796296296296,0,17,7,3,1,5625,18,2,4,2.0,True,True,3.422535211267605,13.225352112676056,0.0986345852895148,4130.5352112676055,0.0,False,0.6978036550648218,False,7.09797138524302e-05,True,False,False,0.2093694884049874,False,0.04012240962732819,True,0.18449926110150058,True
2,14,276.0,0.0031944444444444,0,17,7,3,1,465,50,136,2114,2.0,True,True,3.4027777777777777,13.23611111111111,0.0973090277777777,4079.625,0.0,False,0.8020683993940386,False,6.927722355998948e-05,True,False,False,0.2406482307076355,False,0.20121024576982477,True,0.25083698059685583,True
1,14,16199.0,0.1874884259259259,10,22,7,3,1,4122,43,611,1029,2.0,True,True,3.4027777777777777,13.23611111111111,0.0994587512860081,4081.430555555556,1.4257116842438329,True,2.2084743706850887,True,6.927722355998948e-05,True,True,True,1.0902835273681004,True,0.5040716545506077,True,1.0345817466757723,True
1,14,473.0,0.005474537037037,0,22,7,3,1,4122,43,611,1029,2.0,True,True,3.3698630136986303,13.246575342465754,0.0981712962962962,4081.986301369863,0.0,False,0.6656182713120846,False,6.762137683720458e-05,True,False,False,0.1997125299443602,False,0.1234098306938055,True,0.19727393084568184,True
2,14,7431.0,0.0860069444444444,0,0,8,3,2,4122,43,715,1024,2.0,True,True,3.2739726027397262,13.246575342465754,0.0967430872653475,4061.3972602739727,0.0,False,0.661512342487542,False,0.0008251971344129,True,False,False,0.1987837816000277,False,0.1622987195826944,True,0.2061590648011623,True
25,14,17785.0,0.2058449074074074,0,5,8,3,2,4122,43,715,1024,2.0,True,True,3.647887323943662,13.225352112676056,0.0986875652060511,4038.521126760563,0.1944444444444444,True,0.6685704171927365,False,0.0044569446261331,True,False,False,0.2606872363416075,True,0.9529335453079997,True,0.4551013378928284,True
7,14,17691.0,0.2047569444444444,0,10,8,3,2,4122,43,260,749,2.0,True,True,3.7183098591549295,13.225352112676056,0.0990734220135628,4056.0140845070414,0.0,False,0.6139049616074018,False,7.09797138524302e-05,True,False,False,0.1841998803677615,False,0.5327137422424743,True,0.28667242089093214,True
1,14,710.0,0.0082175925925925,0,10,8,3,2,5625,18,260,749,2.0,True,True,3.6805555555555554,13.23611111111111,0.0978115354938271,4077.805555555556,0.0,False,0.6377972861495086,False,6.927722355998948e-05,True,False,False,0.1913668967342765,False,0.04009913465871368,True,0.16949142450794558,True
1,14,17337.0,0.2006597222222222,0,15,8,3,2,5625,18,268,87,2.0,True,True,3.6666666666666665,13.23611111111111,0.0998670588991769,4071.305555555556,0.0,False,0.6171460018431195,False,6.927722355998948e-05,True,False,False,0.1851715114423598,False,0.29708728457083017,True,0.22857564090937743,True
14,14,3793.0,0.0439004629629629,0,16,8,3,2,3992,5,268,87,2.0,True,True,3.808219178082192,13.246575342465754,0.0991003932014205,4070.219178082192,0.0416666666666666,True,0.6307388140391423,False,6.762137683720458e-05,True,False,False,0.2017486927624775,True,0.628965386249361,True,0.32535962208300184,True
1,14,9507.0,0.1100347222222222,0,18,8,3,2,5625,18,136,2114,2.0,True,True,3.77027027027027,13.256756756756756,0.0992481544044043,4091.2297297297296,0.0,False,0.5846278426574218,False,6.60102827285492e-05,True,False,False,0.175414756910318,False,0.04005447188110207,True,0.15618708120531313,True
2,14,412.0,0.0047685185185185,0,18,8,3,2,348,44,136,2114,2.0,True,True,3.7466666666666666,13.266666666666667,0.0979884259259259,4041.32,0.0,False,0.7503982336327836,False,0.000410924027462,True,False,False,0.2252838397008199,False,0.13508736952074715,True,0.2214741317952482,True
20,14,5583.0,0.0646180555555555,0,20,8,3,2,4122,43,611,1029,2.0,True,True,4.027027027027027,13.256756756756756,0.0953916416416416,4070.918918918919,0.125,True,0.591129067023586,False,6.60102827285492e-05,True,False,False,0.2148651242201672,True,0.678943360769991,True,0.3487846095190764,True
1,14,15052.0,0.1742129629629629,0,0,9,3,3,5625,18,61,66,1.0,True,True,4.403225806451613,13.741935483870968,0.1137009035244922,4085.2741935483873,0.0,False,0.7329982547524598,False,0.0007575757575757,True,False,False,0.2202025067287682,False,0.2485104683596714,True,0.24556657471742674,True
